0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,1.0,0.0,1.0,20000.0,32.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,15000.0,32.0,2.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,23000.0,32.0,3.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,20000.0,45.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,15000.0,23.0,2.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,23000.0,12.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,20000.0,45.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,18000.0,32.0,2.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,23000.0,12.0,3.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,22000.0,45.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,15000.0,46.0,2.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,23000.0,32.0,3.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,22000.0,32.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,22000.0,32.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,22000.0,32.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,22000.0,45.0,1.0
